id,name,category,box_xyxy,width,height,description,role,click_action,image
truck_blue_main_route,Blue Truck Main Route,04_trucks_routes_flows,"[740, 255, 820, 322]",80,67,Blue truck on main road,truck,open_truck_mission_card,04_trucks_routes_flows/truck_blue_main_route__blue_truck_main_route.png
truck_white_calendar_route,White Truck Calendar Route,04_trucks_routes_flows,"[1075, 525, 1150, 585]",75,60,White truck near Calendar Tower,truck,open_truck_mission_card,04_trucks_routes_flows/truck_white_calendar_route__white_truck_calendar_route.png
truck_orange_assets_route,Orange Truck Assets Route,04_trucks_routes_flows,"[962, 365, 1045, 430]",83,65,Orange truck near assets warehouse,truck,open_truck_mission_card,04_trucks_routes_flows/truck_orange_assets_route__orange_truck_assets_route.png
flow_chip_assets_to_youtube,Flow Chip Assets to YouTube,04_trucks_routes_flows,"[195, 720, 350, 752]",155,32,Entrepôt → YouTube active flow chip,flow,open_flow_inspector,04_trucks_routes_flows/flow_chip_assets_to_youtube__flow_chip_assets_to_youtube.png
flow_chip_trading_to_vip,Flow Chip Trading to VIP,04_trucks_routes_flows,"[350, 720, 545, 752]",195,32,Trading Tower → VIP Gate active flow chip,flow,open_flow_inspector,04_trucks_routes_flows/flow_chip_trading_to_vip__flow_chip_trading_to_vip.png
flow_chip_iron_to_vip,Flow Chip Iron Office to VIP Gate,04_trucks_routes_flows,"[548, 720, 728, 752]",180,32,Iron Office → VIP Gate active flow chip,flow,open_flow_inspector,04_trucks_routes_flows/flow_chip_iron_to_vip__flow_chip_iron_office_to_vip_gate.png
flow_chip_knowledge_to_brain,Flow Chip Knowledge to Central Brain,04_trucks_routes_flows,"[730, 720, 958, 752]",228,32,Knowledge Vault → Central Brain active flow,flow,open_flow_inspector,04_trucks_routes_flows/flow_chip_knowledge_to_brain__flow_chip_knowledge_to_central_brain.png
flow_chip_8_active,8 Active Flows Button,04_trucks_routes_flows,"[970, 713, 1100, 750]",130,37,8 flux actifs indicator,flow,open_flow_inspector,04_trucks_routes_flows/flow_chip_8_active__8_active_flows_button.png
kpi_mrr,KPI MRR 879,05_kpis_panels_ui,"[680, 14, 773, 58]",93,44,MRR 879 €,kpi,open_source_truth_card,05_kpis_panels_ui/kpi_mrr__kpi_mrr_879.png
kpi_arr,KPI ARR 10548,05_kpis_panels_ui,"[775, 14, 905, 58]",130,44,ARR 10548 €,kpi,open_source_truth_card,05_kpis_panels_ui/kpi_arr__kpi_arr_10548.png
kpi_vip,KPI VIP 7,05_kpis_panels_ui,"[908, 14, 980, 58]",72,44,VIP 7,kpi,open_source_truth_card,05_kpis_panels_ui/kpi_vip__kpi_vip_7.png
kpi_assets_94,KPI Assets 94,05_kpis_panels_ui,"[980, 14, 1072, 58]",92,44,Actifs 94,kpi,open_source_truth_card,05_kpis_panels_ui/kpi_assets_94__kpi_assets_94.png
kpi_services_5_8,KPI Services 5 of 8,05_kpis_panels_ui,"[1075, 14, 1180, 58]",105,44,Services 5/8,kpi,open_source_truth_card,05_kpis_panels_ui/kpi_services_5_8__kpi_services_5_of_8.png
kpi_maisons_15,KPI Maisons 15,05_kpis_panels_ui,"[1184, 14, 1262, 58]",78,44,Maisons 15,kpi,open_source_truth_card,05_kpis_panels_ui/kpi_maisons_15__kpi_maisons_15.png
state_world_panel,Etat du Monde Panel,05_kpis_panels_ui,"[184, 84, 330, 214]",146,130,État du monde operational,panel,open_world_state,05_kpis_panels_ui/state_world_panel__etat_du_monde_panel.png
right_inspector_header,Right Inspector Header,05_kpis_panels_ui,"[1268, 72, 1534, 145]",266,73,Trading Tower header,panel,open_context_inspector,05_kpis_panels_ui/right_inspector_header__right_inspector_header.png
right_inspector_tabs,Right Inspector Tabs,05_kpis_panels_ui,"[1268, 147, 1530, 185]",262,38,Aperçu / Missions / Activité / Outils,panel,open_context_inspector,05_kpis_panels_ui/right_inspector_tabs__right_inspector_tabs.png
right_inspector_details,Right Inspector Details,05_kpis_panels_ui,"[1268, 185, 1530, 395]",262,210,Owner status blocker proof,panel,open_context_inspector,05_kpis_panels_ui/right_inspector_details__right_inspector_details.png
right_inspector_tools,Right Inspector Tools,05_kpis_panels_ui,"[1268, 400, 1530, 500]",262,100,Outils connectés,panel,open_tool_state_card,05_kpis_panels_ui/right_inspector_tools__right_inspector_tools.png
right_inspector_flows,Right Inspector Flows,05_kpis_panels_ui,"[1268, 505, 1530, 690]",262,185,Flux entrants/sortants,panel,open_flow_inspector,05_kpis_panels_ui/right_inspector_flows__right_inspector_flows.png
bottom_missions_active,Missions Actives Panel,06_bottom_operating_panels,"[180, 770, 533, 1000]",353,230,Missions actives table,bottom,open_mission_table,06_bottom_operating_panels/bottom_missions_active__missions_actives_panel.png
bottom_calendar_operational,Calendrier Operationnel Panel,06_bottom_operating_panels,"[535, 770, 950, 1000]",415,230,Operational calendar,bottom,open_calendar,06_bottom_operating_panels/bottom_calendar_operational__calendrier_operationnel_panel.png
bottom_live_activity,Activite En Direct Panel,06_bottom_operating_panels,"[950, 770, 1255, 1000]",305,230,Live activity feed,bottom,open_activity_feed,06_bottom_operating_panels/bottom_live_activity__activite_en_direct_panel.png
bottom_mini_map_panel,Mini Carte Panel,06_bottom_operating_panels,"[1260, 770, 1534, 1000]",274,230,Mini map,bottom,open_minimap,06_bottom_operating_panels/bottom_mini_map_panel__mini_carte_panel.png
calendar_red_task,Calendar Red YouTube Task,06_bottom_operating_panels,"[550, 832, 715, 865]",165,33,YouTube task in calendar,calendar_task,open_mission_detail,06_bottom_operating_panels/calendar_red_task__calendar_red_youtube_task.png
calendar_purple_task,Calendar Purple VIP Task,06_bottom_operating_panels,"[622, 860, 766, 895]",144,35,VIP onboarding task,calendar_task,open_mission_detail,06_bottom_operating_panels/calendar_purple_task__calendar_purple_vip_task.png
calendar_orange_task,Calendar Orange Compliance Task,06_bottom_operating_panels,"[685, 895, 842, 930]",157,35,Compliance report task,calendar_task,open_mission_detail,06_bottom_operating_panels/calendar_orange_task__calendar_orange_compliance_task.png
calendar_blue_task,Calendar Blue SEO Task,06_bottom_operating_panels,"[740, 930, 872, 964]",132,34,SEO task,calendar_task,open_mission_detail,06_bottom_operating_panels/calendar_blue_task__calendar_blue_seo_task.png
calendar_green_task,Calendar Green Trading Task,06_bottom_operating_panels,"[820, 960, 940, 995]",120,35,Trading portfolio task,calendar_task,open_mission_detail,06_bottom_operating_panels/calendar_green_task__calendar_green_trading_task.png
nav_header_openclaw,OpenClaw Sidebar Header,07_icons_nav,"[0, 0, 170, 70]",170,70,OpenClaw header,sidebar,nav,07_icons_nav/nav_header_openclaw__openclaw_sidebar_header.png
nav_vue_monde_active,Nav Vue Monde Active,07_icons_nav,"[10, 105, 165, 132]",155,27,Active sidebar item,sidebar,nav,07_icons_nav/nav_vue_monde_active__nav_vue_monde_active.png
nav_missions_badge,Nav Missions Badge,07_icons_nav,"[10, 260, 165, 290]",155,30,Missions nav with count,sidebar,nav,07_icons_nav/nav_missions_badge__nav_missions_badge.png
nav_alertes_badge,Nav Alertes Badge,07_icons_nav,"[10, 342, 165, 365]",155,23,Alerts nav with red count,sidebar,nav,07_icons_nav/nav_alertes_badge__nav_alertes_badge.png
nav_agents_assets_tools,Nav Resources Group,07_icons_nav,"[10, 415, 165, 520]",155,105,Agents / actifs / outils / documents,sidebar,nav,07_icons_nav/nav_agents_assets_tools__nav_resources_group.png
nav_system_status,Nav System Status,07_icons_nav,"[10, 750, 165, 812]",155,62,System status operational,sidebar,nav,07_icons_nav/nav_system_status__nav_system_status.png
